,Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
710,Dog Kennel Hill (Southbound),Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
711,Heygate Street,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
712,Lower Road,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
713,Walworth Road,Southwark,,12/01/2007,12/01/2017,3653.0,,,,,,,130,65,,
714,Norton Road,Stockton,,01/10/2008,16/11/2016,2968.0,2507,200,,,0.8,,£60.00,£30.00,,
715,Stockton High Street,Stockton,,08/05/2012,16/11/2016,1653.0,2789,275,,,1.7,,£60.00,£30.00,,
716,Westbury Street,Stockton,,07/11/2011,16/11/2016,1836.0,394,66,,,0.2,,£60.00,£30.00,,
717,Mandale Road,Stockton,,07/11/2011,16/11/2016,1836.0,299,18,,,0.2,,£60.00,£30.00,,
718,High Road / St Georges Road E10,Waltham Forest,95,2012,23/12/2016,,1986,714,"£138,605.00",,,"£59,670.00",£130.00,£65.00,,
719,High Road / Grange Park Road E10,Waltham Forest,93,2012,23/12/2016,,2131,526,"£139,333.00",,,"£42,699.00",£130.00,£65.00,,
720,High Road / Murchison Road E10,Waltham Forest,92,2012,23/12/2016,,1201,354,"£82,955.00",,,"£30,063.00",£130.00,£65.00,,
721,Sidmouth Road / Coronation Gardens E10,Waltham Forest,91,2012,23/12/2016,,483,339,"£35,854.00",,,"£24,277.00",£130.00,£65.00,,
722,Lea Bridge Rd/Church Rd E17,Waltham Forest,26,2011,23/12/2016,,5100,184,"£295,380.00",,,"£17,428.00",£130.00,£65.00,,
723,Lea Bridge Rd/Hibbert Rd E17,Waltham Forest,65,2011,23/12/2016,,982,162,"£58,701.00",,,"£15,539.00",£130.00,£65.00,,
724,High Road / Leyton Lindley Rd Church Rd E10,Waltham Forest,94,2012,23/12/2016,,1041,197,"£66,803.00",,,"£15,156.00",£130.00,£65.00,,
725,Lea Bridge Rd/Vicarage Rd E17,Waltham Forest,63,2011,23/12/2016,,431,111,"£24,167.00",,,"£7,616.00",£130.00,£65.00,,
726,Lea Bridge Rd by B & Q E17,Waltham Forest,27,2011,23/12/2016,,104,20,"£7,095.00",,,"£2,004.00",£130.00,£65.00,,
727,Lea Bridge Rd/Shortlands Rd E17,Waltham Forest,62,2011,23/12/2016,,160,8,"£8,740.00",,,£731.00,£130.00,£65.00,,
728,Chingford Rd/Brookscroft Rd E17,Waltham Forest,49,2011,23/12/2016,,156,4,"£8,537.00",,,£333.00,£130.00,£65.00,,
729,Hoe St/Queens Rd E17,Waltham Forest,44,2011,23/12/2016,,249,0,"£14,949.00",,,£0.00,£130.00,£65.00,,
730,Lea Bridge Rd/Elm Pk Rd E17,Waltham Forest,67,2011,23/12/2016,,225,0,"£10,442.00",,,£0.00,£130.00,£65.00,,
731,Lea Bridge Rd/Rigg Approach E17,Waltham Forest,69,2011,23/12/2016,,6,0,£325.00,,,£0.00,£130.00,£65.00,,
